date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	margin_expense	notes	contracts	entry_price	liquidation_price	unrealized_pnl	funding_profit	funding_loss	margin_locked	fee	margin
2021-01-14	0		BUY	100	0.002551845323085548	39187.328125				10000													
2021-01-21	78.66241638220902		BUY	150	0.004866069669192165	30825.69921875																	
2021-01-28	248.2486675373269		BUY	150	0.004482147919985723	33466.09765625																	
2021-02-04	439.42251333679235		BUY	100	0.002708114070419217	36926.06640625																	
2021-02-11	699.8680014346069		BUY	100	0.0020872760224411526	47909.33203125																	
2021-02-18	862.8176200409065		BUY	100	0.0019349921254890768	51679.796875																	
2021-02-25	877.3794175243839		BUY	100	0.0021234194418625176	47093.8515625																	
2021-03-04	1007.8319035046677		BUY	100	0.0020592585430472313	48561.16796875																	
2021-03-11	1318.7153442194128		BUY	100	0.0017299505321996841	57805.12109375																	
2021-03-17	1444.8727001877614		BUY	100	0.0016986322493692998	58870.89453125																	
2021-03-24	1384.8867574662418		BUY	100	0.0018948629377540487	52774.265625																	
2021-03-31	1657.773773115975		BUY	100	0.0016972502093551504	58918.83203125																	
2021-04-07	1672.153858994721		BUY	100	0.001784155141210304	56048.9375																	
2021-04-14	1995.400717239786		SELL	100	0.0015845425889767085	63109.6953125																	
2021-04-21	1618.9848619535132		BUY	100	0.0018550779752316655	53906.08984375																	
2021-04-28	1748.2780703653132		BUY	100	0.0018239952849721883	54824.703125																	
2021-05-05	1935.9071422665395		BUY	100	0.001741431916882543	57424.0078125																	
2021-05-12	1742.5799658143987		BUY	100	0.002034565843120509	49150.53515625																	
2021-05-19	1387.1661214803198		BUY	150	0.004053786569192806	37002.44140625																	
2021-05-26	1632.3709872710895		BUY	150	0.003817357344908674	39294.19921875																	
2021-06-02	1704.3968689541462		BUY	150	0.003991996877925775	37575.1796875																	
2021-06-09	1843.0430992722963		BUY	150	0.004016588930678382	37345.12109375																	
2021-06-16	2046.5149410314584		BUY	150	0.003911642514990555	38347.0625																	
2021-06-23	1931.6507859594014		BUY	150	0.004447999240133463	33723.02734375																	
2021-06-30	2162.9963089150133		BUY	150	0.004280719794115214	35040.8359375																	
2021-07-07	2234.742605167955		BUY	150	0.00443061722651669	33855.328125																	
2021-07-14	2311.980275851896		BUY	150	0.004570057010271084	32822.34765625																	
2021-07-21	2408.5996078850244		BUY	150	0.004671341048953282	32110.693359375																	
2021-07-28	3186.898174479282		BUY	150	0.003750383828344932	39995.90625																	
2021-08-04	3316.1737202760282		BUY	150	0.0037738218820934214	39747.50390625																	
2021-08-11	3975.9846499818445		BUY	100	0.0021932885199937528	45593.63671875																	
2021-08-18	4005.141192781012		BUY	100	0.0022320836919780306	44801.1875																	
2021-08-25	4486.286262200768		BUY	100	0.0020424507430292192	48960.7890625																	
2021-09-01	4575.62990192027		BUY	100	0.002047207485038392	48847.02734375																	
2021-09-08	4411.860781430167		BUY	100	0.002169602579657467	46091.390625																	
2021-09-15	4715.9560741237565		BUY	100	0.0020757073722882523	48176.34765625																	
2021-09-22	4355.932439584549		BUY	100	0.0022949197826926115	43574.5078125																	
2021-09-29	4250.374908938595		BUY	100	0.002405907178785312	41564.36328125																	
2021-10-06	5794.460460612284		SELL	100	0.001806311095738651	55361.44921875																	
2021-10-13	5904.258028139827		SELL	100	0.0017421269641715938	57401.09765625																	
2021-10-20	6673.0335033626725		SELL	100	0.001515315997250175	65992.8359375																	
2021-10-27	5824.97602653441		SELL	100	0.0017099165340312464	58482.38671875																	
2021-11-03	6164.283453116026		SELL	100	0.001588056623151434	62970.046875																	
2021-11-11	6254.957601916403		SELL	100	0.001539646807428074	64949.9609375																	
2021-11-18	5396.0992771603		SELL	100	0.0017561687313196984	56942.13671875																	
2021-11-25	5327.028579745492		SELL	100	0.0017459722262196196	57274.6796875																	
2021-12-02	5154.304870630579		SELL	100	0.0017706066976933214	56477.81640625																	
2021-12-09	4266.2668135796985		BUY	100	0.00209766206549409	47672.12109375																	
2021-12-16	4365.653593103987		BUY	100	0.0020979567130886027	47665.42578125																	
2021-12-23	4757.875454199615		BUY	100	0.001969103231929132	50784.5390625																	
