date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	margin_expense	notes	contracts	entry_price	liquidation_price	unrealized_pnl	funding_profit	funding_loss	margin_locked	fee	margin
2021-01-14	0	10000	DEPOSIT	10000						10000													
2021-01-14	10000	9900	HOLD	-100										btc BUY									
2021-01-21	9900	9750	HOLD	-150										btc BUY									
2021-01-28	9750	9600	HOLD	-150										btc BUY									
2021-02-04	9600	9500	HOLD	-100										btc BUY									
2021-02-04	9500	9507.916666666666	HOLD						7.916666666666667														
2021-02-11	9507.916666666666	9407.916666666666	HOLD	-100										btc BUY									
2021-02-18	9407.916666666666	9307.916666666666	HOLD	-100										btc BUY									
2021-02-25	9307.916666666666	9207.916666666666	HOLD	-100										btc BUY									
2021-03-04	9207.916666666666	9107.916666666666	HOLD	-100										btc BUY									
2021-03-04	9107.916666666666	9115.506597222222	HOLD						7.589930555555555														
2021-03-11	9115.506597222222	9015.506597222222	HOLD	-100										btc BUY									
2021-03-17	9015.506597222222	8915.506597222222	HOLD	-100										btc BUY									
2021-03-24	8915.506597222222	8815.506597222222	HOLD	-100										btc BUY									
2021-03-31	8815.506597222222	8715.506597222222	HOLD	-100										btc BUY									
2021-04-07	8715.506597222222	8615.506597222222	HOLD	-100										btc BUY									
2021-04-07	8615.506597222222	8622.68618605324	HOLD						7.179588831018519														
2021-04-14	8622.68618605324	8722.68618605324	HOLD	100										btc SELL									
2021-04-21	8722.68618605324	8622.68618605324	HOLD	-100										btc BUY									
2021-04-28	8622.68618605324	8522.68618605324	HOLD	-100										btc BUY									
2021-05-05	8522.68618605324	8422.68618605324	HOLD	-100										btc BUY									
2021-05-05	8422.68618605324	8429.705091208285	HOLD						7.018905155044368														
2021-05-12	8429.705091208285	8329.705091208285	HOLD	-100										btc BUY									
2021-05-19	8329.705091208285	8179.705091208285	HOLD	-150										btc BUY									
2021-05-26	8179.705091208285	8029.705091208285	HOLD	-150										btc BUY									
2021-06-02	8029.705091208285	7879.705091208285	HOLD	-150										btc BUY									
2021-06-02	7879.705091208285	7886.271512117625	HOLD						6.566420909340238														
2021-06-09	7886.271512117625	7736.271512117625	HOLD	-150										btc BUY									
2021-06-16	7736.271512117625	7586.271512117625	HOLD	-150										btc BUY									
2021-06-23	7586.271512117625	7436.271512117625	HOLD	-150										btc BUY									
2021-06-30	7436.271512117625	7286.271512117625	HOLD	-150										btc BUY									
2021-07-07	7286.271512117625	7136.271512117625	HOLD	-150										btc BUY									
2021-07-07	7136.271512117625	7142.21840504439	HOLD						5.946892926764688														
2021-07-14	7142.21840504439	6992.21840504439	HOLD	-150										btc BUY									
2021-07-21	6992.21840504439	6842.21840504439	HOLD	-150										btc BUY									
2021-07-28	6842.21840504439	6692.21840504439	HOLD	-150										btc BUY									
2021-08-04	6692.21840504439	6542.21840504439	HOLD	-150										btc BUY									
2021-08-04	6542.21840504439	6547.6702537152605	HOLD						5.4518486708703255														
