date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	margin_expense	notes	contracts	entry_price	liquidation_price	unrealized_pnl	funding_profit	funding_loss	margin_locked	fee	margin
2021-01-14	0	20000	DEPOSIT	20000						20000													
2021-01-14	20000	19900	HOLD	-100										tqqq BUY									
2021-01-14	19900	19800	HOLD	-100										spxl BUY									
2021-01-21	19800	19700	HOLD	-100										tqqq BUY									
2021-01-21	19700	19600	HOLD	-100										spxl BUY									
2021-01-28	19600	19500	HOLD	-100										tqqq BUY									
2021-01-28	19500	19350	HOLD	-150										spxl BUY									
2021-02-04	19350	19250	HOLD	-100										tqqq BUY									
2021-02-04	19250	19150	HOLD	-100										spxl BUY									
2021-02-04	19150	19165.958333333332	HOLD						15.958333333333334														
2021-02-11	19165.958333333332	19065.958333333332	HOLD	-100										tqqq BUY									
2021-02-11	19065.958333333332	18965.958333333332	HOLD	-100										spxl BUY									
2021-02-18	18965.958333333332	18865.958333333332	HOLD	-100										tqqq BUY									
2021-02-18	18865.958333333332	18765.958333333332	HOLD	-100										spxl BUY									
2021-02-25	18765.958333333332	18615.958333333332	HOLD	-150										tqqq BUY									
2021-02-25	18615.958333333332	18465.958333333332	HOLD	-150										spxl BUY									
2021-03-04	18465.958333333332	18315.958333333332	HOLD	-150										tqqq BUY									
2021-03-04	18315.958333333332	18165.958333333332	HOLD	-150										spxl BUY									
2021-03-04	18165.958333333332	18181.09663194444	HOLD						15.13829861111111														
2021-03-11	18181.09663194444	18031.09663194444	HOLD	-150										tqqq BUY									
2021-03-11	18031.09663194444	17931.09663194444	HOLD	-100										spxl BUY									
2021-03-17	17931.09663194444	17831.09663194444	HOLD	-100										tqqq BUY									
2021-03-17	17831.09663194444	17731.09663194444	HOLD	-100										spxl BUY									
2021-03-24	17731.09663194444	17581.09663194444	HOLD	-150										tqqq BUY									
2021-03-24	17581.09663194444	17481.09663194444	HOLD	-100										spxl BUY									
2021-03-31	17481.09663194444	17331.09663194444	HOLD	-150										tqqq BUY									
2021-03-31	17331.09663194444	17231.09663194444	HOLD	-100										spxl BUY									
2021-04-07	17231.09663194444	17131.09663194444	HOLD	-100										tqqq BUY									
2021-04-07	17131.09663194444	17031.09663194444	HOLD	-100										spxl BUY									
2021-04-07	17031.09663194444	17045.289212471063	HOLD						14.192580526620368														
2021-04-14	17045.289212471063	16945.289212471063	HOLD	-100										tqqq BUY									
2021-04-14	16945.289212471063	16845.289212471063	HOLD	-100										spxl BUY									
2021-04-21	16845.289212471063	16745.289212471063	HOLD	-100										tqqq BUY									
2021-04-21	16745.289212471063	16645.289212471063	HOLD	-100										spxl BUY									
2021-04-28	16645.289212471063	16545.289212471063	HOLD	-100										tqqq BUY									
2021-04-28	16545.289212471063	16445.289212471063	HOLD	-100										spxl BUY									
2021-05-05	16445.289212471063	16345.289212471063	HOLD	-100										tqqq BUY									
