date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	margin_expense	notes	contracts	entry_price	liquidation_price	unrealized_pnl	funding_profit	funding_loss	margin_locked	fee	margin
2021-01-14	0		BUY	100	4.400682268252359	22.7237491607666				10000													
2021-01-21	111.60130500884311		BUY	100	3.94321757071179	25.360000610351562																	
2021-01-28	201.2548711182947		BUY	100	4.145936837503787	24.1200008392334																	
2021-02-04	325.3914671549841		BUY	100	3.838403257980646	26.052499771118164																	
2021-02-11	441.9646207224827		BUY	100	3.694467649414266	27.0674991607666																	
2021-02-18	531.7030059999233		BUY	100	3.7657691150735633	26.55500030517578																	
2021-02-25	522.7517845337113		BUY	150	6.825938448059665	21.975000381469727																	
2021-03-04	613.5894015695017		BUY	150	7.484096466306473	20.042499542236328																	
2021-03-11	864.6457094371583		BUY	150	6.609385416039848	22.69499969482422																	
2021-03-17	1050.8590821543328		BUY	100	4.254414106379341	23.5049991607666																	
2021-03-24	1044.8557271073578		BUY	150	7.029053370545997	21.34000015258789																	
2021-03-31	1277.443011113113		BUY	150	6.574621805337416	22.815000534057617																	
2021-04-07	1598.091676723739		BUY	100	3.915043625023578	25.542499542236328																	
2021-04-14	1772.2180098867798		BUY	100	3.7512896023935536	26.657499313354492																	
2021-04-21	1915.0597676719894		BUY	100	3.667369589430571	27.267499923706055																	
2021-04-28	2006.9307567630688		BUY	100	3.682224156434969	27.157499313354492																	
2021-05-05	1923.061705144308		BUY	100	4.0342914154731195	24.787500381469727																	
2021-05-12	1800.6575162017132		BUY	150	6.798866855524079	22.0625																	
2021-05-19	2049.240300749921		BUY	150	6.471793829415427	23.177499771118164																	
2021-05-26	2438.592512795155		BUY	100	3.8910504681464624	25.700000762939453																	
2021-06-02	2521.800259563912		BUY	100	3.916960333350442	25.530000686645508																	
2021-06-09	2699.334804899974		BUY	100	3.8044512299985995	26.28499984741211																	
2021-06-16	2902.6390793669816		BUY	100	3.669051663151374	27.2549991607666																	
2021-06-23	3187.997469625976		BUY	100	3.4557235421166306	28.9375																	
2021-06-30	3479.7381428007093		SELL	3479.7381428007093	113.62410262206397	30.625																	
2021-07-07	0		BUY	100	3.0950168910442932	32.310001373291016																	
2021-07-14	101.67904524660524		BUY	100	3.043908293530743	32.852500915527344																	
2021-07-21	198.6709616021814		BUY	150	4.6349943155263045	32.36249923706055																	
2021-07-28	361.19566768059394		BUY	100	2.9828484846691845	33.525001525878906																	
2021-08-04	466.62954485402173		BUY	100	2.9481133666909436	33.91999816894531																	
2021-08-11	561.2005093940489		BUY	100	2.9766333194348684	33.595001220703125																	
2021-08-18	639.0588053892906		BUY	150	4.619648733008327	32.470001220703125																	
2021-08-25	871.2574831868715		BUY	100	2.789205702430958	35.852500915527344																	
2021-09-01	1017.9883285586777		BUY	100	2.661166964919098	37.57749938964844																	
2021-09-08	1119.4758826636198		BUY	100	2.657630819206711	37.627498626708984																	
2021-09-15	1192.3332795715544		BUY	100	2.718129858969225	36.790000915527344																	
2021-09-22	1208.1156177747953		BUY	100	2.9076105161301484	34.39250183105469																	
2021-09-29	1198.0044712841695		BUY	150	4.762282801598013	31.497499465942383																	
2021-10-06	1348.7534188451782		BUY	150	4.759638359671671	31.514999389648438																	
2021-10-13	1501.2501414526926		BUY	150	4.751722625732298	31.5674991607666																	
2021-10-20	1862.1843376547204		BUY	100	2.808988884443171	35.599998474121094																	
2021-10-27	2039.9000605556298		BUY	100	2.70197256242019	37.0099983215332																	
2021-11-03	2367.998240284687		BUY	100	2.441704200442097	40.95500183105469																	
2021-11-11	2415.87218669285		BUY	100	2.494387618343394	40.09000015258789																	
2021-11-18	2732.8497173503024		BUY	100	2.2963430414701977	43.54750061035156																	
2021-11-25	2615.73874377597		BUY	100	2.486943603005841	40.209999084472656																	
2021-12-02	2668.123959620295		BUY	100	2.5313250802747276	39.505001068115234																	
2021-12-09	2845.551516272169		BUY	100	2.462447635977376	40.61000061035156																	
2021-12-16	2776.913017880603		BUY	100	2.611989040056364	38.28499984741211																	
2021-12-23	3108.7342027217214		HOLD			41.369998931884766	0.002254339581569884																
2021-12-23	3108.7342027217214		BUY	100	2.4172106014469295	41.369998931884766																	
2021-12-30	3286.2960660421645		BUY	100	2.360160550411221	42.369998931884766																	
2022-01-06	2975.8966076117913		BUY	100	2.685645182242843	37.23500061035156																	
2022-01-13	2924.3116105289373		BUY	150	4.237287952949483	35.400001525878906																	
2022-01-20	2686.9830161472923		BUY	150	4.848092999703911	30.940000534057617																	
2022-01-27	2363.846892108869		BUY	200	7.757951694066614	25.780000686645508																	
2022-02-03	2821.425001686414		BUY	150	5.287275134393448	28.3700008392334																	
2022-02-10	3080.3527057123406		BUY	150	5.100306044823017	29.40999984741211																	
2022-02-17	2867.336155777059		BUY	150	5.746025766340619	26.104999542236328																	
2022-02-24	2864.186681598025		BUY	200	8.071024796532166	24.780000686645508																	
2022-03-03	3106.229615836626		BUY	150	5.971337380121586	25.1200008392334																	
2022-03-10	2925.6806918941593		BUY	200	8.86132045654676	22.56999969482422																	
2022-03-16	3354.186319674717		BUY	150	6.193228912161553	24.219999313354492																	
2022-03-23	3873.8476479153437		BUY	150	5.602240976174989	26.774999618530273																	
2022-03-30	4560.360629418253		BUY	150	4.9431538439345655	30.344999313354492																	
2022-04-06	4167.842727255579		BUY	150	5.586592099399786	26.850000381469727																	
2022-04-13	4051.6962625662504		BUY	150	5.953562286837984	25.19499969482422																	
2022-04-20	3994.0714392933287		BUY	150	6.263047817188882	23.950000762939453																	
2022-04-27	3291.032908622364		BUY	200	10.51524685523144	19.020000457763672																	
2022-05-04	3867.300764930848		BUY	200	9.49216909809113	21.06999969482422																	
2022-05-11	2775.8797490414095		BUY	200	13.908205730760235	14.380000114440918																	
2022-05-18	2912.761235522584		BUY	200	14.209591666803874	14.074999809265137																	
2022-05-25	3093.963023988139		BUY	200	14.295925895073465	13.989999771118164																	
2022-06-01	3800.1831355601125		BUY	200	12.391574198464477	16.139999389648438																	
2022-06-08	4046.034399592304		BUY	200	12.25114797262578	16.325000762939453																	
2022-06-15	3238.1699843509805		BUY	200	16.064257274217987	12.449999809265137																	
2022-06-22	3353.9419014880023		BUY	200	16.467681553041878	12.145000457763672																	
2022-06-29	3640.266290394048		BUY	200	16.077170960309438	12.4399995803833																	
2022-07-06	4034.749271426215		BUY	200	15.30221917902576	13.069999694824219																	
2022-07-13	4080.846935714528		BUY	200	15.87931685270067	12.595000267028809																	
2022-07-20	5079.57560868994		BUY	200	13.382402414451999	14.944999694824219																	
2022-07-27	5429.714162487933		BUY	200	13.012361840543047	15.369999885559082																	
2022-08-03	6527.098594954437		BUY	150	8.417508561662164	17.81999969482422																	
2022-08-10	6838.218375127784		BUY	150	8.219178082191782	18.25																	
2022-08-17	7141.384659196681		BUY	150	8.042895606869768	18.649999618530273																	
2022-08-24	6394.133791024084		BUY	200	12.228676588067495	16.354999542236328																	
2022-08-31	5606.324131442233		BUY	200	14.383315630403425	13.904999732971191																	
2022-09-07	5764.567274060774		BUY	200	14.487504207081825	13.805000305175781																	
2022-09-14	5707.492370596492		BUY	200	15.140045376415829	13.210000038146973																	
2022-09-21	5196.446667073707		BUY	200	17.211704128203376	11.619999885559082																	
2022-09-28	5171.207871326345		BUY	200	17.961382657293736	11.135000228881836																	
2022-10-05	5445.975340448521		BUY	200	17.71479191105099	11.289999961853027																	
2022-10-12	4525.78193805034		BUY	200	22.09944704805138	9.050000190734863																	
2022-10-19	5101.755881211094		BUY	200	20.470828109436905	9.770000457763672																	
2022-10-26	5714.174554523002		BUY	200	18.99335280833546	10.529999732971191																	
2022-11-02	5111.015390980648		BUY	200	21.978021056708826	9.100000381469727																	
2022-11-10	6259.410956756401		BUY	200	18.648017984740857	10.725000381469727																	
2022-11-17	6582.87750279112		BUY	200	18.298261154237316	10.930000305175781																	
2022-11-24	6906.9922483492355		HOLD			11.130000114440918																	
2022-12-01	7350.702981567063		HOLD			11.845000267028809																	
2022-12-08	6609.116267183969		HOLD			10.649999618530273																	
2022-12-15	6094.03962924845		HOLD			9.819999694824219																	
2022-12-22	5442.437067111899		HOLD			8.770000457763672	30.38331868841722																
2022-12-22	5442.437067111899		BUY	30.38331868841722	3.4644603309593087	8.770000457763672																	
2022-12-29	5397.935208492451		HOLD			8.649999618530273																	
2023-01-05	5104.637410410634		HOLD			8.180000305175781																	
2023-01-12	6149.901890718596		HOLD			9.854999542236328																	
2023-01-19	5881.565620029482		HOLD			9.425000190734863																	
2023-01-26	7076.599859823417		HOLD			11.34000015258789																	
2023-02-02	8396.441736580866		HOLD			13.454999923706055																	
2023-02-09	7588.311468938701		HOLD			12.15999984741211																	
2023-02-16	7666.316316432117		HOLD			12.28499984741211																	
2023-02-23	7154.604707316833		HOLD			11.46500015258789																	
2023-03-02	6898.748902759191		HOLD			11.055000305175781																	
2023-03-09	6795.782527873073		HOLD			10.890000343322754																	
2023-03-15	7210.768292732853		HOLD			11.555000305175781																	
2023-03-22	7700.638639770742		HOLD			12.34000015258789	46.74050461805458																
2023-03-22	7700.638639770742		BUY	46.74050461805458	3.7877231799103637	12.34000015258789																	
2023-03-29	8233.9444448156		HOLD			13.114999771118164																	
2023-04-05	8441.127142948226		HOLD			13.444999694824219																	
2023-04-12	8202.552999910835		HOLD			13.0649995803833																	
2023-04-19	8620.057600540766		HOLD			13.729999542236328																	
2023-04-26	8042.45776850636		HOLD			12.8100004196167																	
2023-05-03	8437.987938583548		HOLD			13.4399995803833																	
